arch,run_idx,seed_a,seed_b,hazard_cost,arc_complete_a,arc_complete_b,both_arc_complete,arc_total_steps_a,arc_total_steps_b,arc_total_steps_delta,transformation_step_a,transformation_step_b,transfer_triggered_step_a,transfer_triggered_step_b,env2_actual_steps_a,env2_actual_steps_b,first_transformer,haz_blue_shared_benefit,individuation_confirmed,social_corroboration_fired_b,zpd_delta_b,being_observed_fired_a
v1_15_1,0,202358875,202378875,0.1,True,True,True,488726,24506,464220,7,6,488719,24500,0,0,b,False,True,False,206228,False
v1_15_1,1,1869897005,1869917005,0.1,True,True,True,2359,24040,21681,15,14,2344,24026,0,0,b,False,True,True,206694,True
v1_15_1,2,1489290374,1489310374,0.1,False,True,False,,34551,,,51,51309,34500,0,0,b,False,False,False,196183,False
v1_15_1,3,1108683743,1108703743,0.1,True,True,True,4905,4021,884,22,21,4883,4000,0,0,b,False,True,False,226713,False
v1_15_1,4,628738225,628758225,0.1,True,True,True,415800,325107,90693,16,15,415784,325092,0,0,b,False,True,False,-94373,False
v1_15_1,5,248131594,248151594,0.1,True,False,False,1517,,,17,,1500,,0,0,a,False,False,False,,False
v1_15_1,6,1915669724,1915689724,0.1,False,True,False,,36094,,,94,,36000,0,0,b,False,False,False,194640,False
v1_15_1,7,1535063093,1535083093,0.1,False,True,False,,1003,,,3,,1000,0,0,b,False,False,False,229731,False
v1_15_1,8,1154456462,1154476462,0.1,False,False,False,,,,,,,64006,0,0,,False,False,False,,False
v1_15_1,9,674510944,674530944,0.1,True,True,True,598079,59006,539073,7,6,598072,59000,0,0,b,False,True,True,171728,True
v1_15_1,10,10,20010,1.0,True,True,True,59016,543582,484566,16,15,59000,543567,0,0,b,False,True,True,-312848,True
v1_15_1,11,1010,21010,1.0,True,True,True,9336,374806,365470,12,12,9324,374794,0,0,tie,True,True,True,-144072,True
v1_15_1,12,2010,22010,1.0,False,True,False,,94536,,,36,,94500,0,0,b,False,False,False,136198,False
v1_15_1,13,3010,23010,1.0,True,True,True,440350,6011,434339,11,11,440339,6000,0,0,tie,True,True,True,224723,True
v1_15_1,14,4010,24010,1.0,True,True,True,22504,23067,563,38,38,22466,23029,0,0,tie,True,True,True,207667,True
v1_15_1,15,5010,25010,1.0,False,False,False,,,,,,579500,,0,0,,False,False,False,,False
v1_15_1,16,6010,26010,1.0,True,True,True,15003,157546,142543,3,3,15000,157543,0,0,tie,True,True,False,73188,False
v1_15_1,17,7010,27010,1.0,True,True,True,1004,43526,42522,4,3,1000,43523,0,0,b,False,True,True,187208,True
v1_15_1,18,8010,28010,1.0,True,True,True,606813,81505,525308,5,5,606808,81500,0,0,tie,True,True,True,149229,True
v1_15_1,19,9010,29010,1.0,False,True,False,,513601,,,12,123896,513589,0,0,b,False,False,False,-282867,False
v1_15_1,20,20,20020,2.0,True,True,True,52978,1003,51975,3,3,52975,1000,0,0,tie,True,True,False,229731,False
v1_15_1,21,1020,21020,2.0,False,True,False,,1530,,,30,,1500,0,0,b,False,False,False,229204,False
v1_15_1,22,2020,22020,2.0,True,False,False,50646,,,6,,50640,,0,0,a,False,False,False,,False
v1_15_1,23,3020,23020,2.0,True,True,True,6340,1008,5332,9,8,6331,1000,0,0,b,False,True,False,229726,False
v1_15_1,24,4020,24020,2.0,True,True,True,772162,118007,654155,7,7,772155,118000,0,0,tie,True,True,True,112727,True
v1_15_1,25,5020,25020,2.0,True,True,True,1009,2346,1337,9,9,1000,2337,0,0,tie,True,True,True,228388,True
v1_15_1,26,6020,26020,2.0,True,True,True,2352,1549,803,49,49,2303,1500,0,0,tie,True,True,False,229185,False
v1_15_1,27,7020,27020,2.0,False,True,False,,1030,,,30,88893,1000,0,0,b,False,False,False,229704,False
v1_15_1,28,8020,28020,2.0,True,True,True,4983,2505,2478,6,5,4977,2500,0,0,b,False,True,False,228229,False
v1_15_1,29,9020,29020,2.0,True,True,True,133028,36503,96525,3,3,133025,36500,0,0,tie,True,True,False,194231,False
v1_15_1,30,100,20100,10.0,False,True,False,,176039,,,39,,176000,0,0,b,False,False,False,54695,False
v1_15_1,31,1100,21100,10.0,False,True,False,,7654,,,154,,7500,0,0,b,False,False,False,223080,False
v1_15_1,32,2100,22100,10.0,True,True,True,1015,189479,188464,15,14,1000,189465,0,0,b,False,True,True,41255,True
v1_15_1,33,3100,23100,10.0,True,True,True,1625,1008,617,9,8,1616,1000,0,0,b,False,True,True,229726,True
v1_15_1,34,4100,24100,10.0,True,True,True,452228,33012,419216,13,12,452215,33000,0,0,b,False,True,True,197722,True
v1_15_1,35,5100,25100,10.0,True,False,False,1137,,,137,,1000,,0,0,a,False,False,False,,False
v1_15_1,36,6100,26100,10.0,True,False,False,40584,,,85,,40499,9000,0,0,a,False,False,False,,False
v1_15_1,37,7100,27100,10.0,False,True,False,,5012,,,12,,5000,0,0,b,False,False,False,225722,False
v1_15_1,38,8100,28100,10.0,True,True,True,387527,260027,127500,28,27,387499,260000,0,0,b,False,True,False,-29293,False
v1_15_1,39,9100,29100,10.0,True,True,True,15434,185793,170359,4,3,15430,185790,0,0,b,False,True,False,44941,False
