arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step
v1_10,0,202358875,0.1,320000,711,8,8,6,689,0,6,5,0,True,2,True,True,689,689,138,0,0,0.0,False,908,689,0.2412,False,
v1_10,1,1869897005,0.1,320000,836,9,8,9,810,0,7,7,1,True,2,True,False,810,810,247,1,1,893.0,True,1011,810,0.1988,False,
v1_10,2,1489290374,0.1,320000,759,13,10,7,729,0,12,5,1,True,1,True,True,729,729,142,1,1,979.0,True,1147,729,0.3644,True,23830
v1_10,3,1108683743,0.1,320000,871,9,8,7,847,0,8,5,1,True,1,True,False,847,847,253,1,1,1054.0,True,1056,847,0.1979,False,
v1_10,4,628738225,0.1,320000,863,9,8,7,839,0,7,5,1,True,2,True,True,839,839,278,1,1,886.0,True,1071,839,0.2166,False,
v1_10,5,248131594,0.1,320000,689,8,8,6,667,0,8,4,1,True,0,True,False,667,667,140,1,1,880.0,True,831,667,0.1974,False,
v1_10,6,1915669724,0.1,320000,820,9,8,7,796,0,8,5,1,True,1,True,False,796,796,220,1,1,888.0,True,1036,796,0.2317,False,
v1_10,7,1535063093,0.1,320000,826,9,10,7,800,0,7,5,1,True,2,True,False,800,800,326,1,1,1036.0,True,1042,800,0.2322,False,
v1_10,8,1154456462,0.1,320000,1365,13,10,7,1335,0,12,5,1,True,1,True,True,1335,1335,262,1,1,949.0,True,8115,1335,0.8355,True,56499
v1_10,9,674510944,0.1,320000,825,8,8,6,803,0,8,4,1,True,0,True,False,803,803,284,1,1,873.0,True,1022,803,0.2143,False,
v1_10,0,496635339,1.0,320000,796,9,8,7,772,0,8,5,1,True,1,True,False,772,772,243,1,1,971.0,True,960,772,0.1958,False,
v1_10,1,16689821,1.0,320000,948,9,8,7,924,0,7,5,1,True,2,True,True,924,924,291,1,1,983.0,True,1217,924,0.2408,False,
v1_10,2,1783566838,1.0,320000,731,8,8,6,709,0,8,4,1,True,0,True,False,709,709,155,1,1,849.0,True,899,709,0.2113,False,
v1_10,3,1303621320,1.0,320000,710,7,8,6,689,0,5,5,0,True,2,True,True,689,689,245,0,0,0.0,False,869,689,0.2071,False,
v1_10,4,923014689,1.0,320000,765,8,8,7,742,0,6,5,1,True,2,True,False,742,742,287,1,1,913.0,True,962,742,0.2287,False,
v1_10,5,542408058,1.0,320000,699,8,8,6,677,0,8,4,1,True,0,True,False,677,677,145,1,1,955.0,True,877,677,0.2281,False,
v1_10,6,62462540,1.0,320000,821,8,8,6,799,0,8,4,1,True,0,True,False,799,799,264,1,1,957.0,True,988,799,0.1913,False,
v1_10,7,1829339557,1.0,320000,1124,13,10,7,1094,0,11,5,1,True,2,True,False,1094,1094,392,1,1,964.0,True,2071,1094,0.4718,True,310155
v1_10,8,1349394039,1.0,320000,950,13,10,7,920,0,12,5,1,True,1,True,True,920,920,179,1,1,1132.0,True,1427,920,0.3553,True,23235
v1_10,9,968787408,1.0,320000,987,13,10,7,957,0,11,5,1,True,2,True,True,957,957,294,1,1,987.0,True,1470,957,0.349,True,21506
v1_10,0,271697600,2.0,320000,828,13,10,7,798,0,11,5,1,True,2,True,True,798,798,159,1,1,1004.0,True,1223,798,0.3475,True,16839
v1_10,1,1939235730,2.0,320000,1336,13,10,7,1306,0,11,5,1,True,2,True,True,1306,1306,370,1,1,1200.0,True,2389,1306,0.4533,True,15899
v1_10,2,1558629099,2.0,320000,767,13,10,7,737,0,12,5,1,True,1,True,True,737,737,154,1,1,939.0,True,1218,737,0.3949,True,309892
v1_10,3,1178022468,2.0,320000,684,3,8,4,669,0,3,3,0,True,0,True,False,669,669,244,0,0,0.0,False,826,669,0.1901,False,
v1_10,4,698076950,2.0,320000,926,8,8,6,904,0,6,4,1,True,2,True,True,904,904,257,1,1,928.0,True,1199,904,0.246,False,
v1_10,5,317470319,2.0,320000,763,13,10,7,733,0,12,5,1,True,1,True,True,733,733,149,1,1,997.0,True,937,733,0.2177,True,283209
v1_10,6,1985008449,2.0,320000,1026,11,10,7,998,0,9,5,1,True,2,True,False,998,998,268,1,1,943.0,True,2251,998,0.5566,True,
v1_10,7,1604401818,2.0,320000,890,13,10,7,860,0,11,5,1,True,2,True,True,860,860,286,1,1,893.0,True,1103,860,0.2203,True,194269
v1_10,8,1124456300,2.0,320000,706,8,8,6,684,0,8,4,1,True,0,True,False,684,684,145,1,1,907.0,True,866,684,0.2102,False,
v1_10,9,743849669,2.0,320000,695,4,8,6,677,0,3,5,0,True,1,True,False,677,677,246,0,0,0.0,False,856,677,0.2091,False,
v1_10,0,565380326,10.0,320000,1250,13,10,7,1220,0,11,5,1,True,2,True,True,1220,1220,396,1,1,968.0,True,3510,1220,0.6524,True,141401
v1_10,1,184773695,10.0,320000,817,9,8,7,793,0,7,5,1,True,2,True,True,793,793,237,1,1,913.0,True,1009,793,0.2141,False,
v1_10,2,1852311825,10.0,320000,653,9,8,7,629,0,9,5,1,True,0,True,True,629,629,143,1,1,987.0,True,830,629,0.2422,False,
v1_10,3,1471705194,10.0,320000,861,7,8,6,840,0,7,4,1,True,0,True,False,840,840,296,1,1,982.0,True,1068,840,0.2135,False,
v1_10,4,1091098563,10.0,320000,1324,13,10,8,1293,0,11,5,2,True,2,True,False,1293,1293,420,2,2,955.5,True,4531,1293,0.7146,True,171923
v1_10,5,611153045,10.0,320000,716,11,8,10,687,0,10,7,4,True,0,True,True,687,687,119,2,2,974.0,True,1079,687,0.3633,False,
v1_10,6,230546414,10.0,320000,925,13,10,7,895,0,11,5,1,True,2,True,True,895,895,179,1,1,953.0,True,1705,895,0.4751,True,19517
v1_10,7,1898084544,10.0,320000,1662,13,10,7,1632,0,11,5,1,True,2,True,True,1632,1632,481,1,1,936.0,True,6951,1632,0.7652,True,59510
v1_10,8,1517477913,10.0,320000,673,9,8,7,649,0,9,5,1,True,0,True,True,649,649,131,1,1,950.0,True,822,649,0.2105,False,
v1_10,9,1037532395,10.0,320000,1020,8,8,7,997,0,8,4,2,True,0,True,False,997,997,310,2,2,907.0,True,1309,997,0.2383,False,
