arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated
v1_8,0,202358875,0.1,320000,22,8,8,6,0,6,5,0,True,2,True,True
v1_8,1,1869897005,0.1,320000,25,9,8,8,0,7,7,1,True,2,True,False
v1_8,2,1489290374,0.1,320000,28,12,10,6,0,11,5,1,True,1,True,True
v1_8,3,1108683743,0.1,320000,23,9,8,6,0,8,5,1,True,1,True,False
v1_8,4,628738225,0.1,320000,23,9,8,6,0,7,5,1,True,2,True,True
v1_8,5,248131594,0.1,320000,21,8,8,5,0,8,4,1,True,0,True,False
v1_8,6,1915669724,0.1,320000,23,9,8,6,0,8,5,1,True,1,True,False
v1_8,7,1535063093,0.1,320000,23,9,8,6,0,7,5,1,True,2,True,True
v1_8,8,1154456462,0.1,320000,28,12,10,6,0,11,5,1,True,1,True,True
v1_8,9,674510944,0.1,320000,21,8,8,5,0,8,4,1,True,0,True,False
v1_8,0,496635339,1.0,320000,23,9,8,6,0,8,5,1,True,1,True,False
v1_8,1,16689821,1.0,320000,23,9,8,6,0,7,5,1,True,2,True,True
v1_8,2,1783566838,1.0,320000,21,8,8,5,0,8,4,1,True,0,True,False
v1_8,3,1303621320,1.0,320000,21,7,8,6,0,5,5,0,True,2,True,True
v1_8,4,923014689,1.0,320000,23,9,8,6,0,7,5,1,True,2,True,True
v1_8,5,542408058,1.0,320000,21,8,8,5,0,8,4,1,True,0,True,False
v1_8,6,62462540,1.0,320000,21,8,8,5,0,8,4,1,True,0,True,False
v1_8,7,1829339557,1.0,320000,28,12,10,6,0,10,5,1,True,2,True,False
v1_8,8,1349394039,1.0,320000,28,12,10,6,0,11,5,1,True,1,True,True
v1_8,9,968787408,1.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,0,271697600,2.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,1,1939235730,2.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,2,1558629099,2.0,320000,28,12,10,6,0,11,5,1,True,1,True,True
v1_8,3,1178022468,2.0,320000,15,3,8,4,0,3,3,0,True,0,True,False
v1_8,4,698076950,2.0,320000,21,8,8,5,0,6,4,1,True,2,True,True
v1_8,5,317470319,2.0,320000,25,9,10,6,0,8,5,1,True,1,True,True
v1_8,6,1985008449,2.0,320000,27,11,10,6,0,9,5,1,True,2,True,False
v1_8,7,1604401818,2.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,8,1124456300,2.0,320000,21,8,8,5,0,8,4,1,True,0,True,False
v1_8,9,743849669,2.0,320000,18,4,8,6,0,3,5,0,True,1,True,False
v1_8,0,565380326,10.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,1,184773695,10.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,2,1852311825,10.0,320000,23,9,8,6,0,9,5,1,True,0,True,True
v1_8,3,1471705194,10.0,320000,20,7,8,5,0,7,4,1,True,0,True,False
v1_8,4,1091098563,10.0,320000,23,9,8,6,0,7,5,2,True,2,True,True
v1_8,5,611153045,10.0,320000,27,11,8,8,0,10,7,4,True,0,True,True
v1_8,6,230546414,10.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,7,1898084544,10.0,320000,28,12,10,6,0,10,5,1,True,2,True,True
v1_8,8,1517477913,10.0,320000,23,9,8,6,0,9,5,1,True,0,True,True
v1_8,9,1037532395,10.0,320000,21,8,8,5,0,8,4,2,True,0,True,False
