arch,run_idx,seed,hazard_cost,haz_grey_approach_count,haz_grey_contact_count,haz_grey_first_approach_step,haz_grey_first_contact_step,unresolvable,shape_connector_fired
v1_16,0,202358875,0.1,69,1,108,38935,True,True
v1_16,1,1869897005,0.1,61,1,108,545,True,True
v1_16,2,1489290374,0.1,71,0,108,,True,True
v1_16,3,1108683743,0.1,126,1,108,548,True,True
v1_16,4,628738225,0.1,59,1,108,552,True,True
v1_16,5,248131594,0.1,94,1,108,605,True,True
v1_16,6,1915669724,0.1,75,1,108,555,True,True
v1_16,7,1535063093,0.1,115,0,108,,True,True
v1_16,8,1154456462,0.1,60,1,108,591,True,True
v1_16,9,674510944,0.1,86,1,108,677,True,True
v1_16,10,10,1.0,68,0,108,,True,True
v1_16,11,1010,1.0,65,0,108,,True,True
v1_16,12,2010,1.0,67,0,108,,True,True
v1_16,13,3010,1.0,59,1,108,559,True,True
v1_16,14,4010,1.0,167,1,108,555,True,True
v1_16,15,5010,1.0,62,1,108,547,True,True
v1_16,16,6010,1.0,61,0,108,,True,True
v1_16,17,7010,1.0,80,2,108,567,True,True
v1_16,18,8010,1.0,59,1,108,553,True,True
v1_16,19,9010,1.0,77,0,108,,True,True
v1_16,20,20,2.0,54,0,108,,True,True
v1_16,21,1020,2.0,63,0,108,,True,True
v1_16,22,2020,2.0,86,1,108,562,True,True
v1_16,23,3020,2.0,61,1,108,547,True,True
v1_16,24,4020,2.0,59,1,108,550,True,True
v1_16,25,5020,2.0,60,1,108,548,True,True
v1_16,26,6020,2.0,65,0,108,,True,True
v1_16,27,7020,2.0,59,0,108,,True,True
v1_16,28,8020,2.0,66,0,108,,True,True
v1_16,29,9020,2.0,108,1,108,1364,True,True
v1_16,30,100,10.0,79,1,108,546,True,True
v1_16,31,1100,10.0,145,1,108,547,True,True
v1_16,32,2100,10.0,60,1,108,580,True,True
v1_16,33,3100,10.0,59,1,108,650,True,True
v1_16,34,4100,10.0,61,0,108,,True,True
v1_16,35,5100,10.0,129,0,108,,True,True
v1_16,36,6100,10.0,79,1,108,31762,True,True
v1_16,37,7100,10.0,61,1,108,548,True,True
v1_16,38,8100,10.0,61,1,108,558,True,True
v1_16,39,9100,10.0,63,1,108,582,True,True
